Timestamp,DeviceID,BuildingType,ZoneID,Suhu (C),Kelembaban (%),Tegangan (V),Arus (A),Daya (W),Jumlah Orang
2026-02-01T00:00:00+00:00,DEV_000_OF,office,0,24.0,50.89,219.53,0.2431,55.0,1
2026-02-01T00:15:00+00:00,DEV_000_OF,office,0,24.0,47.35,218.95,0.2431,50.77,0
2026-02-01T00:30:00+00:00,DEV_000_OF,office,0,24.0,39.81,218.18,0.2101,44.27,0
2026-02-01T00:45:00+00:00,DEV_000_OF,office,0,24.0,72.48,220.79,0.2153,45.5,0
2026-02-01T01:00:00+00:00,DEV_000_OF,office,0,24.0,59.58,218.8,0.2758,57.42,0
2026-02-01T01:15:00+00:00,DEV_000_OF,office,0,24.0,50.16,220.78,0.3038,68.95,1
2026-02-01T01:30:00+00:00,DEV_000_OF,office,0,24.0,53.37,217.98,0.2071,43.26,0
2026-02-01T01:45:00+00:00,DEV_000_OF,office,0,24.0,54.75,216.47,0.2504,53.91,0
2026-02-01T02:00:00+00:00,DEV_000_OF,office,0,24.0,49.53,219.64,0.2506,61.6,2
2026-02-01T02:15:00+00:00,DEV_000_OF,office,0,24.0,51.42,222.01,0.2591,56.67,0
2026-02-01T02:30:00+00:00,DEV_000_OF,office,0,24.0,64.52,220.17,0.2433,56.18,1
2026-02-01T02:45:00+00:00,DEV_000_OF,office,0,24.0,47.72,217.01,0.245,54.73,1
2026-02-01T03:00:00+00:00,DEV_000_OF,office,0,24.0,54.63,220.19,0.2707,62.87,1
2026-02-01T03:15:00+00:00,DEV_000_OF,office,0,24.0,49.95,219.26,0.2475,51.71,0
2026-02-01T03:30:00+00:00,DEV_000_OF,office,0,24.0,54.76,219.31,0.2256,49.44,0
2026-02-01T03:45:00+00:00,DEV_000_OF,office,0,24.0,44.46,222.81,0.2226,55.8,2
2026-02-01T04:00:00+00:00,DEV_000_OF,office,0,24.0,48.54,220.96,0.2499,57.1,1
2026-02-01T04:15:00+00:00,DEV_000_OF,office,0,24.0,61.14,221.5,0.2292,50.54,0
2026-02-01T04:30:00+00:00,DEV_000_OF,office,0,24.0,69.52,219.01,0.2637,55.46,0
2026-02-01T04:45:00+00:00,DEV_000_OF,office,0,24.0,39.59,220.14,0.2367,56.72,1
2026-02-01T05:00:00+00:00,DEV_000_OF,office,0,28.75221605165637,44.92,221.63,0.2271,50.55,0
2026-02-01T05:15:00+00:00,DEV_000_OF,office,0,24.98,48.92,219.59,0.3079,78.83,3
2026-02-01T05:30:00+00:00,DEV_000_OF,office,0,24.0,54.77,220.59,0.2475,55.96,1
2026-02-01T05:45:00+00:00,DEV_000_OF,office,0,24.0,60.39,222.65,0.2322,50.35,0
2026-02-01T06:00:00+00:00,DEV_000_OF,office,0,25.38,61.45,219.51,0.5512,124.99,2
2026-02-01T06:15:00+00:00,DEV_000_OF,office,0,24.88,61.23,221.08,0.5172,116.73,1
2026-02-01T06:30:00+00:00,DEV_000_OF,office,0,24.46,55.63,220.95,0.5858,140.97,3
2026-02-01T06:45:00+00:00,DEV_000_OF,office,0,25.39,59.67,219.32,0.5286,114.94,0
2026-02-01T07:00:00+00:00,DEV_000_OF,office,0,26.61,64.8,220.12,0.5328,117.0,0
2026-02-01T07:15:00+00:00,DEV_000_OF,office,0,26.83,42.91,222.76,0.566,125.5,0
2026-02-01T07:30:00+00:00,DEV_000_OF,office,0,26.31,57.82,222.66,0.5977,135.56,1
2026-02-01T07:45:00+00:00,DEV_000_OF,office,0,26.67,44.48,219.53,0.6242,135.21,1
2026-02-01T08:00:00+00:00,DEV_000_OF,office,0,27.29,51.0,219.06,0.6207,130.81,0
2026-02-01T08:15:00+00:00,DEV_000_OF,office,0,27.56,54.61,217.46,0.5998,127.11,0
2026-02-01T08:30:00+00:00,DEV_000_OF,office,0,28.18,56.54,218.68,0.6638,148.71,2
2026-02-01T08:45:00+00:00,DEV_000_OF,office,0,28.33,47.16,219.36,0.6342,136.96,0
2026-02-01T09:00:00+00:00,DEV_000_OF,office,0,28.72,62.85,219.53,0.9155,202.29,3
2026-02-01T09:15:00+00:00,DEV_000_OF,office,0,28.02,47.97,217.5,0.9069,203.63,3
2026-02-01T09:30:00+00:00,DEV_000_OF,office,0,28.74,56.91,219.6,0.8166,179.65,1
2026-02-01T09:45:00+00:00,DEV_000_OF,office,0,28.87,41.007415330642594,217.52,0.9624,226.32,6
2026-02-01T10:00:00+00:00,DEV_000_OF,office,0,29.04,56.28,218.74,1.0133,228.91,4
2026-02-01T10:15:00+00:00,DEV_000_OF,office,0,29.64,49.02,220.23,1.0466,240.57,5
2026-02-01T10:30:00+00:00,DEV_000_OF,office,0,29.34,56.78,220.65,0.9932,235.56,4
2026-02-01T10:45:00+00:00,DEV_000_OF,office,0,29.86,34.73,219.11,1.0161,237.62,5
2026-02-01T11:00:00+00:00,DEV_000_OF,office,0,30.32,47.66,221.23,1.0358,226.97,2
2026-02-01T11:15:00+00:00,DEV_000_OF,office,0,29.58,45.44,220.46,1.0317,234.62,2
2026-02-01T11:30:00+00:00,DEV_000_OF,office,0,29.47,47.56,219.4,1.0832,247.5,4
2026-02-01T11:45:00+00:00,DEV_000_OF,office,0,29.42,53.45,223.07,1.0847,258.37,4
2026-02-01T12:00:00+00:00,DEV_000_OF,office,0,30.05,42.79,219.78,1.3391,320.3,8
2026-02-01T12:15:00+00:00,DEV_000_OF,office,0,29.7,32.16,218.95,1.2186,282.32,5
2026-02-01T12:30:00+00:00,DEV_000_OF,office,0,30.37,60.63,219.85,1.114,253.74,3
2026-02-01T12:45:00+00:00,DEV_000_OF,office,0,30.68,47.75,222.48,1.0848,249.5,2
2026-02-01T13:00:00+00:00,DEV_000_OF,office,0,29.83,49.46,220.24,1.264,288.18,5
2026-02-01T13:15:00+00:00,DEV_000_OF,office,0,30.6,42.08,219.39,1.392,333.55,8
2026-02-01T13:30:00+00:00,DEV_000_OF,office,0,29.61,46.46,222.12,1.0096,217.87,0
2026-02-01T13:45:00+00:00,DEV_000_OF,office,0,29.76,50.72,215.66,1.3317,314.06,7
2026-02-01T14:00:00+00:00,DEV_000_OF,office,0,28.3,49.14,217.8,1.1554,251.38,2
2026-02-01T14:15:00+00:00,DEV_000_OF,office,0,29.81,41.21,221.01,1.0926,235.15,1
2026-02-01T14:30:00+00:00,DEV_000_OF,office,0,28.61,48.16,221.03,1.2122,267.57,3
2026-02-01T14:45:00+00:00,DEV_000_OF,office,0,29.22,54.3,221.52,1.1931,263.8,2
2026-02-01T15:00:00+00:00,DEV_000_OF,office,0,29.36,47.33,221.15,1.0928,239.28,1
2026-02-01T15:15:00+00:00,DEV_000_OF,office,0,28.58,61.9,215.09,1.1489,250.48,3
2026-02-01T15:30:00+00:00,DEV_000_OF,office,0,29.38,56.36,223.05,1.1809,267.72,3
2026-02-01T15:45:00+00:00,DEV_000_OF,office,0,28.2,61.07,217.38,1.2445,278.87,5
2026-02-01T16:00:00+00:00,DEV_000_OF,office,0,27.2,43.49,215.0,1.0934,242.74,2
2026-02-01T16:15:00+00:00,DEV_000_OF,office,0,27.05,45.86,221.51,1.1864,274.19,5
2026-02-01T16:30:00+00:00,DEV_000_OF,office,0,27.64,30.18,221.28,1.0464,231.15,2
2026-02-01T16:45:00+00:00,DEV_000_OF,office,0,26.69,49.46,219.19,1.0276,226.03,1
2026-02-01T17:00:00+00:00,DEV_000_OF,office,0,26.56,62.25,216.46,0.7576,163.6,0
2026-02-01T17:15:00+00:00,DEV_000_OF,office,0,25.99,51.7,219.69,0.8286,182.72,2
2026-02-01T17:30:00+00:00,DEV_000_OF,office,0,26.49,47.39,221.74,0.8029,176.5,1
2026-02-01T17:45:00+00:00,DEV_000_OF,office,0,26.94,45.12,215.54,0.7786,162.22,0
2026-02-01T18:00:00+00:00,DEV_000_OF,office,0,24.88,58.14,220.33,0.8126,185.25,3
2026-02-01T18:15:00+00:00,DEV_000_OF,office,0,24.79,56.67,224.54,0.7508,174.01,2
2026-02-01T18:30:00+00:00,DEV_000_OF,office,0,25.04,47.66,222.57,0.8209,191.33,4
2026-02-01T18:45:00+00:00,DEV_000_OF,office,0,24.54,58.69,222.71,0.7514,174.33,2
2026-02-01T19:00:00+00:00,DEV_000_OF,office,0,24.0,63.97,220.36,0.7585,171.94,2
2026-02-01T19:15:00+00:00,DEV_000_OF,office,0,24.07,55.81,220.45,0.7171,158.2,1
2026-02-01T19:30:00+00:00,DEV_000_OF,office,0,24.0,52.8,220.11,0.7275,164.56,2
2026-02-01T19:45:00+00:00,DEV_000_OF,office,0,24.0,60.57,218.83,0.6331,134.51,0
2026-02-01T20:00:00+00:00,DEV_000_OF,office,0,24.0,57.03,219.48,0.6167,137.54,2
2026-02-01T20:15:00+00:00,DEV_000_OF,office,0,24.0,58.44,219.69,0.6414,141.91,2
2026-02-01T20:30:00+00:00,DEV_000_OF,office,0,24.0,53.27,218.43,0.6363,142.0,1
2026-02-01T20:45:00+00:00,DEV_000_OF,office,0,24.0,51.74,218.91,0.6177,136.77,1
2026-02-01T21:00:00+00:00,DEV_000_OF,office,0,24.0,42.07,220.58,0.5728,129.3,1
2026-02-01T21:15:00+00:00,DEV_000_OF,office,0,24.0,43.12,223.5,0.5654,123.82,0
2026-02-01T21:30:00+00:00,DEV_000_OF,office,0,24.0,42.97,220.2,0.5531,116.17,0
2026-02-01T21:45:00+00:00,DEV_000_OF,office,0,24.0,50.08,219.25,0.6314,153.26,4
2026-02-01T22:00:00+00:00,DEV_000_OF,office,0,24.0,41.99,217.52,0.508,106.29,0
2026-02-01T22:15:00+00:00,DEV_000_OF,office,0,24.0,41.76,223.51,0.5495,125.32,1
2026-02-01T22:30:00+00:00,DEV_000_OF,office,0,24.0,51.75,224.31,0.5587,124.77,1
2026-02-01T22:45:00+00:00,DEV_000_OF,office,0,24.0,52.15,220.7,0.4917,106.38,0
2026-02-01T23:00:00+00:00,DEV_000_OF,office,0,24.0,55.78,223.24,0.2831,61.22,0
2026-02-01T23:15:00+00:00,DEV_000_OF,office,0,24.0,47.0,220.05,0.2447,52.89,0
2026-02-01T23:30:00+00:00,DEV_000_OF,office,0,24.0,40.75,222.68,0.234,49.81,0
2026-02-01T23:45:00+00:00,DEV_000_OF,office,0,24.0,55.95,220.37,0.2503,57.82,1
2026-02-02T00:00:00+00:00,DEV_000_OF,office,0,24.0,59.9,220.36,0.2411,55.48,1
2026-02-02T00:15:00+00:00,DEV_000_OF,office,0,24.0,57.66,218.88,0.2221,54.98,2
2026-02-02T00:30:00+00:00,DEV_000_OF,office,0,24.0,56.97,222.13,0.2407,53.03,0
2026-02-02T00:45:00+00:00,DEV_000_OF,office,0,24.0,58.67,220.92,0.2078,45.84,0
2026-02-02T01:00:00+00:00,DEV_000_OF,office,0,24.0,53.66,221.64,0.2414,50.38,0
2026-02-02T01:15:00+00:00,DEV_000_OF,office,0,24.0,51.68,221.36,0.2297,56.87,2
2026-02-02T01:30:00+00:00,DEV_000_OF,office,0,24.0,48.17,219.48,0.2414,49.20586295509268,0
2026-02-02T01:45:00+00:00,DEV_000_OF,office,0,24.0,60.25,217.03,0.2721,66.48,2
2026-02-02T02:00:00+00:00,DEV_000_OF,office,0,24.0,63.27,219.11,0.2783,62.78,1
2026-02-02T02:15:00+00:00,DEV_000_OF,office,0,24.0,49.6,218.39,0.2196,45.28,0
2026-02-02T02:30:00+00:00,DEV_000_OF,office,0,24.0,42.34,219.67,0.2328,54.8,1
2026-02-02T02:45:00+00:00,DEV_000_OF,office,0,24.0,43.02,220.76,0.2526,58.92,1
2026-02-02T03:00:00+00:00,DEV_000_OF,office,0,24.0,52.59,218.75,0.2305,49.62,0
2026-02-02T03:15:00+00:00,DEV_000_OF,office,0,24.0,49.01,217.65,0.2499,60.6,2
2026-02-02T03:30:00+00:00,DEV_000_OF,office,0,24.0,59.5,219.27,0.263,59.29,1
2026-02-02T03:45:00+00:00,DEV_000_OF,office,0,24.0,57.27,224.02,0.2066,43.95,0
2026-02-02T04:00:00+00:00,DEV_000_OF,office,0,24.0,73.25495495307598,221.39,0.2241,47.31,0
2026-02-02T04:15:00+00:00,DEV_000_OF,office,0,24.0,72.22,218.94,0.2687,61.6,1
2026-02-02T04:30:00+00:00,DEV_000_OF,office,0,24.0,54.44,221.0,0.2919,76.16,3
2026-02-02T04:45:00+00:00,DEV_000_OF,office,0,24.0,50.66,220.29,0.2315,50.78,0
2026-02-02T05:00:00+00:00,DEV_000_OF,office,0,24.0,62.23,221.64,0.2219,48.46,0
2026-02-02T05:15:00+00:00,DEV_000_OF,office,0,24.08,57.12,224.33,0.2668,64.52,1
2026-02-02T05:30:00+00:00,DEV_000_OF,office,0,24.31,40.31,220.35,0.2699,61.25,1
2026-02-02T05:45:00+00:00,DEV_000_OF,office,0,24.0,53.06,218.6,0.2421,52.65,0
2026-02-02T06:00:00+00:00,DEV_000_OF,office,0,24.72,54.66,223.13,0.544,122.61,1
2026-02-02T06:15:00+00:00,DEV_000_OF,office,0,24.8,41.76,219.64,0.5711,131.0,2
2026-02-02T06:30:00+00:00,DEV_000_OF,office,0,24.89,42.38,217.55,0.5785,125.26,1
